region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,pred,price,id
jacksonville,2012,ford,excellent,4 cylinders,gas,128149,rebuilt,automatic,fwd,mid-size,SUV,white,fl,12505.60886772885,10945.0,170
rochester,2016,jeep,like new,6 cylinders,diesel,101848,clean,automatic,4wd,full-size,SUV,black,-1,27289.754564592382,27672.0,178
knoxville,2011,ford,excellent,8 cylinders,diesel,127365,clean,automatic,4wd,full-size,SUV,black,tn,21812.73059907346,6462.0,186
san antonio,2012,jeep,excellent,6 cylinders,gas,85714,clean,automatic,rwd,full-size,SUV,black,tx,17359.91710580117,7317.0,210
"washington, DC",2011,chevrolet,excellent,4 cylinders,gas,96418,clean,automatic,fwd,mid-size,sedan,black,dc,10538.312672367087,7539.0,214
colorado springs,2009,chevrolet,excellent,4 cylinders,gas,154975,clean,automatic,4wd,full-size,SUV,black,co,13025.694905958837,27073.0,226
rapid city / west SD,1990,ford,good,6 cylinders,gas,229486,clean,automatic,4wd,full-size,SUV,black,sd,7203.352817725157,5192.0,227
florence,2014,saturn,like new,4 cylinders,gas,94756,clean,automatic,fwd,compact,sedan,silver,-1,8103.223246378591,7229.0,229
tucson,2012,kia,excellent,4 cylinders,gas,133023,clean,automatic,fwd,compact,sedan,blue,az,8093.666492702207,16127.0,249
grand rapids,2015,nissan,excellent,4 cylinders,gas,128842,rebuilt,automatic,fwd,mid-size,SUV,black,-1,12405.458840152016,10351.0,257
dallas / fort worth,2009,ford,excellent,8 cylinders,other,96449,clean,automatic,rwd,full-size,truck,blue,tx,17346.986847607186,19776.0,261
south florida,2011,mazda,excellent,4 cylinders,gas,102230,clean,automatic,fwd,mid-size,SUV,green,fl,8885.5044034624,4612.0,274
rockford,2012,chevrolet,good,4 cylinders,gas,252953,clean,automatic,fwd,mid-size,hatchback,white,-1,7205.049316117307,5437.0,278
rochester,2012,ford,like new,8 cylinders,gas,103170,clean,automatic,fwd,full-size,SUV,black,ny,13953.613524777582,15711.0,307
south jersey,2009,audi,excellent,4 cylinders,gas,149774,clean,manual,4wd,mid-size,wagon,green,nj,10099.144609473413,2849.0,310
las vegas,1997,bmw,excellent,8 cylinders,-1,88861,clean,manual,rwd,compact,coupe,red,nv,11612.04842410027,5731.0,315
phoenix,1997,bmw,excellent,6 cylinders,gas,33445,clean,other,rwd,full-size,coupe,black,az,19430.441874585813,24979.0,347
scranton / wilkes-barre,2008,ford,excellent,6 cylinders,gas,110065,clean,manual,fwd,full-size,SUV,black,pa,10299.669881498208,8828.0,358
south coast,1989,chevrolet,good,8 cylinders,gas,145015,clean,automatic,rwd,full-size,truck,green,ma,9176.132771679899,4646.0,415
stockton,2018,nissan,like new,4 cylinders,gas,22485,rebuilt,automatic,fwd,compact,sedan,black,ca,15474.451964517822,15527.0,442
richmond,2010,toyota,good,4 cylinders,gas,79602,clean,manual,fwd,compact,SUV,black,va,7904.37272635079,21167.0,446
springfield,2014,chevrolet,excellent,8 cylinders,gas,94474,clean,automatic,4wd,full-size,truck,grey,il,21024.317483704304,33086.0,454
los angeles,2012,gmc,excellent,8 cylinders,gas,274244,clean,automatic,4wd,full-size,truck,silver,ca,15009.154653683072,4790.0,459
chattanooga,2016,honda,excellent,4 cylinders,gas,107364,clean,automatic,fwd,compact,coupe,white,tn,11383.223325725412,16746.0,460
baltimore,2008,ford,good,8 cylinders,gas,164376,clean,automatic,fwd,full-size,sedan,black,md,5351.521830761572,4944.0,469
"washington, DC",2014,nissan,excellent,4 cylinders,-1,53863,rebuilt,automatic,4wd,mid-size,SUV,black,dc,19728.883395841112,16665.0,485
richmond,2010,honda,like new,4 cylinders,gas,155780,clean,automatic,fwd,full-size,sedan,silver,va,7295.333149650833,2578.0,486
myrtle beach,2016,mini,excellent,4 cylinders,gas,101153,rebuilt,automatic,fwd,compact,coupe,black,sc,10289.926667522406,7015.0,487
yakima,2017,dodge,good,6 cylinders,gas,95388,clean,automatic,4wd,full-size,truck,black,-1,23805.09006931237,14743.0,489
albany,2014,jeep,excellent,6 cylinders,gas,127181,clean,automatic,4wd,mid-size,SUV,black,ny,16994.187223680085,7223.0,495
south florida,2003,buick,good,4 cylinders,gas,158685,clean,automatic,fwd,full-size,sedan,green,fl,3916.91609711363,4981.0,509
las vegas,2013,ford,good,4 cylinders,gas,51280,clean,automatic,rwd,full-size,coupe,black,nv,18602.690959386295,25703.0,533
boulder,2014,ford,like new,6 cylinders,diesel,138313,clean,automatic,4wd,full-size,SUV,red,co,20345.210473058512,18966.0,537
"washington, DC",2013,volkswagen,good,4 cylinders,gas,92804,clean,automatic,fwd,mid-size,sedan,black,dc,7053.88462055265,3213.0,541
mcallen / edinburg,2016,hyundai,like new,4 cylinders,gas,16069,clean,automatic,fwd,full-size,sedan,blue,tx,16165.592209165683,6046.0,542
spokane / coeur d'alene,2016,ford,like new,6 cylinders,diesel,138314,clean,manual,4wd,full-size,truck,black,id,29673.118200072786,37753.0,545
norfolk / hampton roads,2007,toyota,good,6 cylinders,gas,184796,clean,automatic,fwd,full-size,SUV,silver,va,4673.767343321582,3848.0,568
pueblo,2011,ford,excellent,4 cylinders,gas,132452,clean,automatic,fwd,mid-size,sedan,green,-1,8395.24861961021,20242.0,574
chico,2009,bmw,excellent,6 cylinders,gas,160069,clean,automatic,fwd,mid-size,sedan,silver,ca,8380.669880995294,8592.0,586
san luis obispo,2018,ford,excellent,6 cylinders,gas,110568,rebuilt,automatic,4wd,full-size,SUV,custom,ca,20712.665499169147,62933.0,598
tallahassee,2016,honda,excellent,4 cylinders,gas,98829,clean,manual,fwd,compact,sedan,black,fl,9450.64518864057,11206.0,605
bakersfield,2014,volkswagen,good,4 cylinders,gas,153534,clean,automatic,fwd,compact,sedan,black,ca,5659.567633228144,7977.0,606
central NJ,2013,chevrolet,good,8 cylinders,-1,89154,clean,manual,rwd,full-size,truck,silver,-1,15788.908400406828,9168.0,614
tulsa,2008,nissan,fair,6 cylinders,gas,165943,clean,automatic,fwd,full-size,SUV,black,ok,4946.956397691509,7391.0,638
daytona beach,2004,ford,excellent,6 cylinders,gas,71999,clean,automatic,rwd,full-size,van,white,fl,16393.270375214284,20661.0,656
muskegon,2001,jeep,fair,6 cylinders,gas,161391,clean,automatic,fwd,full-size,SUV,blue,mi,5800.023998344084,2235.0,660
albany,2017,ford,excellent,6 cylinders,gas,5989,rebuilt,automatic,rwd,mid-size,coupe,black,ny,30831.093026121845,18733.0,674
phoenix,2012,ford,good,8 cylinders,diesel,213918,clean,automatic,rwd,full-size,pickup,white,az,17232.11230906262,6598.0,690
greenville / upstate,2019,ram,excellent,6 cylinders,diesel,38021,clean,automatic,4wd,mid-size,truck,white,sc,41887.64282602607,49591.0,697
treasure coast,1971,ford,fair,8 cylinders,gas,114931,clean,manual,rwd,full-size,other,orange,fl,8952.456796595594,2319.0,700
salem,2011,ford,excellent,4 cylinders,gas,139563,clean,automatic,fwd,mid-size,truck,blue,or,13578.624763423344,8561.0,710
bellingham,2012,ford,like new,6 cylinders,gas,107236,clean,automatic,fwd,full-size,SUV,green,wa,10942.465912041953,9092.0,717
treasure coast,1960,ford,like new,6 cylinders,gas,11939,clean,automatic,rwd,full-size,truck,green,fl,26003.456019175937,16191.0,736
albany,2014,ford,like new,4 cylinders,gas,13744,clean,automatic,fwd,compact,sedan,black,ny,16108.760845996207,16078.0,738
memphis,2013,ford,like new,4 cylinders,gas,-1,lien,other,fwd,mid-size,SUV,black,tn,16951.85253641731,29044.0,746
tampa bay area,2013,volkswagen,like new,4 cylinders,gas,96210,clean,automatic,fwd,mid-size,sedan,silver,fl,7812.649220039835,3110.0,752
mohave county,2013,kia,excellent,4 cylinders,gas,91969,clean,automatic,fwd,compact,sedan,black,-1,8687.155661774566,17766.0,756
madison,2006,ford,good,8 cylinders,gas,237942,clean,automatic,4wd,full-size,SUV,orange,wi,6006.3104959202465,6199.0,769
spokane / coeur d'alene,2016,chevrolet,excellent,8 cylinders,gas,17573,rebuilt,manual,4wd,full-size,SUV,white,id,32276.508307574084,22750.0,789
"washington, DC",2009,ford,excellent,6 cylinders,diesel,143854,clean,manual,4wd,full-size,truck,silver,dc,19007.866681245854,22542.0,790
hawaii,1978,bmw,like new,6 cylinders,gas,20815,parts only,manual,rwd,full-size,convertible,orange,-1,22199.603217629483,19068.0,801
"st louis, MO",2006,acura,excellent,6 cylinders,gas,134641,clean,automatic,rwd,mid-size,coupe,black,mo,9282.322277599713,19141.0,814
greensboro,2002,ram,excellent,8 cylinders,gas,122689,clean,automatic,4wd,full-size,SUV,red,nc,13972.803413241869,21545.0,818
topeka,2006,ford,fair,8 cylinders,gas,339138,clean,manual,rwd,full-size,truck,green,ks,3513.532628768822,1067.0,840
syracuse,2014,ford,excellent,4 cylinders,-1,90309,clean,automatic,rwd,compact,sedan,white,ny,14668.237144691637,9772.0,858
north jersey,2004,buick,like new,4 cylinders,gas,89297,clean,manual,fwd,compact,sedan,grey,nj,6344.622323630145,8755.0,860
mcallen / edinburg,2015,lincoln,excellent,4 cylinders,gas,116439,salvage,automatic,fwd,compact,sedan,black,tx,8205.60812691017,12608.0,861
yakima,1987,ford,excellent,6 cylinders,gas,293031,clean,automatic,4wd,full-size,SUV,red,wa,9035.988521046704,8255.0,885
space coast,2009,toyota,excellent,4 cylinders,gas,135542,clean,automatic,fwd,mid-size,SUV,silver,fl,8552.446946436306,10844.0,890
north jersey,2015,kia,excellent,4 cylinders,gas,82315,rebuilt,automatic,fwd,compact,sedan,black,nj,10811.26755633927,6131.0,897
rapid city / west SD,2008,jeep,good,6 cylinders,gas,135176,clean,automatic,fwd,full-size,SUV,black,sd,7094.9465151706245,15930.0,904
minneapolis / st paul,2010,ford,good,6 cylinders,gas,57806,clean,automatic,4wd,full-size,truck,white,mn,21815.154400458327,27674.0,912
cape cod / islands,2010,bmw,excellent,6 cylinders,gas,91781,rebuilt,manual,rwd,mid-size,coupe,silver,ma,15668.248869064962,6874.0,926
tucson,2004,dodge,excellent,6 cylinders,gas,81692,rebuilt,automatic,rwd,mid-size,sedan,white,az,13950.447225114098,17443.0,932
hudson valley,2016,ram,excellent,8 cylinders,diesel,68530,clean,automatic,4wd,full-size,pickup,white,ny,39743.69529049634,66725.0,934
delaware,2016,jeep,excellent,6 cylinders,gas,22326,rebuilt,automatic,fwd,mid-size,SUV,silver,de,23877.823828911176,22050.0,939
waterloo / cedar falls,1995,chevrolet,excellent,4 cylinders,gas,23850,rebuilt,automatic,fwd,mid-size,sedan,blue,ia,14074.84505639202,21932.0,947
charleston,2010,ford,excellent,6 cylinders,diesel,95652,clean,automatic,rwd,full-size,pickup,white,sc,23995.369126474252,26209.0,950
lehigh valley,2012,jeep,fair,6 cylinders,gas,148208,-1,automatic,4wd,full-size,-1,blue,pa,10690.4327748192,10253.0,953
indianapolis,2011,ram,excellent,8 cylinders,diesel,173337,clean,automatic,4wd,full-size,truck,black,in,24453.50178698986,10352.0,961
philadelphia,2015,jeep,like new,3 cylinders,gas,165493,salvage,automatic,4wd,full-size,SUV,black,pa,16994.856939762598,10551.0,964
inland empire,2013,ford,good,4 cylinders,gas,20756,clean,automatic,rwd,full-size,sedan,black,ca,20140.2113671524,26067.0,968
detroit metro,2004,ford,excellent,8 cylinders,gas,250151,clean,manual,fwd,mid-size,sedan,green,mi,4384.436904372415,1916.0,985
richmond,2007,toyota,good,8 cylinders,gas,258760,clean,manual,fwd,full-size,truck,green,-1,4075.643046984216,5222.0,994
rhode island,2012,bmw,excellent,6 cylinders,gas,144797,clean,manual,fwd,compact,sedan,silver,ri,8172.928421260556,4954.0,999
tampa bay area,2015,audi,excellent,4 cylinders,gas,156190,clean,automatic,fwd,mid-size,sedan,white,fl,11338.179239803692,9827.0,1000
orange county,2013,ford,good,8 cylinders,gas,73050,clean,manual,rwd,full-size,truck,white,ca,21223.262341640657,24135.0,1016
central NJ,2010,ford,excellent,4 cylinders,gas,105950,clean,automatic,fwd,full-size,SUV,black,nj,11408.66686586081,40768.0,1020
pittsburgh,2016,ford,new,6 cylinders,gas,26592,clean,automatic,fwd,mid-size,sedan,grey,-1,20356.544235815993,23063.0,1032
new york city,2016,buick,excellent,6 cylinders,-1,100334,clean,automatic,4wd,full-size,mini-van,blue,ny,16731.152951422846,4647.0,1035
northern michigan,2010,volvo,good,4 cylinders,gas,118828,clean,automatic,fwd,mid-size,SUV,brown,mi,6014.750607201597,7808.0,1040
upper peninsula,2012,ford,like new,6 cylinders,gas,45533,clean,manual,4wd,full-size,truck,grey,-1,24993.80476406007,21728.0,1042
la crosse,2012,ford,excellent,8 cylinders,gas,111458,clean,automatic,4wd,full-size,truck,black,wi,18323.093224655604,7408.0,1047
shreveport,2014,chevrolet,excellent,6 cylinders,gas,1899,clean,automatic,fwd,full-size,van,white,la,23601.319517336553,37719.0,1062
philadelphia,2014,toyota,like new,4 cylinders,gas,132710,clean,manual,fwd,mid-size,sedan,blue,pa,8360.569850736996,7637.0,1063
gold country,2011,honda,excellent,6 cylinders,gas,88418,clean,automatic,rwd,full-size,mini-van,brown,ca,11819.734334101668,9882.0,1066
salem,2017,chevrolet,good,8 cylinders,diesel,147475,clean,manual,4wd,full-size,truck,black,or,28051.152852697065,29674.0,1099
los angeles,2015,toyota,excellent,4 cylinders,gas,87946,clean,automatic,fwd,mid-size,sedan,grey,ca,10794.572203924647,32315.0,1116
"washington, DC",2007,ram,excellent,6 cylinders,gas,151063,clean,automatic,4wd,full-size,pickup,black,dc,16699.80162680871,22563.0,1132
central NJ,2011,ford,excellent,8 cylinders,diesel,110662,clean,automatic,rwd,full-size,truck,white,nj,22835.823723634472,15001.0,1136
jacksonville,2014,pontiac,like new,6 cylinders,gas,95313,clean,automatic,fwd,mid-size,sedan,white,fl,10304.311816243222,8692.0,1164
laredo,1994,volkswagen,excellent,6 cylinders,gas,257257,clean,manual,fwd,mid-size,convertible,brown,tx,4655.8987785370555,17859.0,1181
appleton-oshkosh-FDL,2019,jeep,like new,6 cylinders,gas,11835,clean,other,4wd,full-size,SUV,black,wi,31120.745563236764,46840.0,1182
yuma,2007,ram,excellent,6 cylinders,gas,130035,clean,automatic,4wd,full-size,truck,blue,-1,17914.700058512157,23509.0,1188
tallahassee,2014,honda,like new,4 cylinders,gas,86933,rebuilt,automatic,fwd,mid-size,sedan,blue,fl,10204.6202204281,7479.0,1196
sarasota-bradenton,2013,bmw,excellent,6 cylinders,gas,89631,clean,automatic,rwd,mid-size,sedan,black,fl,14988.669683729997,31601.0,1208
laredo,1995,dodge,fair,6 cylinders,-1,196207,missing,automatic,4wd,full-size,pickup,silver,tx,6600.05588896363,3088.0,1210
detroit metro,2008,bmw,excellent,8 cylinders,gas,19048,clean,automatic,rwd,full-size,convertible,black,mi,20712.16554175294,21476.0,1215
fort wayne,2009,acura,like new,6 cylinders,gas,56643,clean,manual,4wd,full-size,SUV,blue,in,15921.181525511434,3109.0,1227
treasure coast,2015,chevrolet,like new,8 cylinders,gas,82725,clean,automatic,4wd,full-size,truck,green,fl,22249.776265723398,15222.0,1240
las cruces,2009,kia,excellent,4 cylinders,gas,126969,clean,automatic,fwd,mid-size,sedan,black,nm,7677.069923067233,7604.0,1256
louisville,2006,acura,like new,6 cylinders,gas,158450,rebuilt,automatic,fwd,full-size,SUV,custom,ky,7368.96451549395,2717.0,1259
tucson,2014,honda,good,4 cylinders,gas,58910,salvage,automatic,fwd,compact,sedan,black,az,9515.134669266408,6094.0,1269
tulsa,2008,ford,excellent,8 cylinders,diesel,94886,clean,manual,4wd,full-size,truck,black,ok,21355.081870147726,11746.0,1276
cincinnati,1996,toyota,good,6 cylinders,gas,115314,clean,other,fwd,full-size,SUV,blue,oh,6655.722211757442,7715.0,1299
new york city,1968,chevrolet,excellent,8 cylinders,diesel,85848,parts only,automatic,rwd,full-size,SUV,green,ny,19616.941329978174,3847.0,1300
yakima,2020,audi,excellent,5 cylinders,gas,39807,rebuilt,automatic,fwd,mid-size,sedan,black,wa,20920.574204472592,23052.0,1305
albuquerque,2015,bmw,excellent,4 cylinders,gas,130300,rebuilt,automatic,fwd,mid-size,sedan,grey,nm,10970.526130059501,3405.0,1310
south florida,2014,chevrolet,excellent,4 cylinders,gas,159648,clean,automatic,fwd,full-size,SUV,black,fl,11465.261710891267,14767.0,1351
central NJ,2008,ford,like new,8 cylinders,-1,21561,clean,automatic,rwd,full-size,SUV,grey,nj,20581.574888495496,19526.0,1353
hartford,1998,honda,fair,4 cylinders,gas,188235,missing,manual,fwd,mid-size,coupe,green,-1,3161.4671725721564,2856.0,1365
el paso,2013,ford,excellent,8 cylinders,gas,235,clean,automatic,fwd,full-size,van,white,tx,22787.169791474706,6535.0,1368
milwaukee,2015,ford,excellent,6 cylinders,gas,136212,clean,automatic,4wd,full-size,truck,red,wi,20301.50613661832,40415.0,1380
toledo,1990,chevrolet,excellent,8 cylinders,gas,71020,clean,manual,rwd,full-size,van,white,oh,16279.044237389928,21634.0,1382
klamath falls,2011,ford,excellent,6 cylinders,gas,107991,clean,automatic,fwd,full-size,other,silver,or,10994.014372145524,6041.0,1383
eau claire,1993,gmc,like new,6 cylinders,gas,35585,clean,automatic,4wd,full-size,truck,black,wi,24558.045720947674,32621.0,1390
poconos,2006,honda,excellent,4 cylinders,gas,146092,clean,automatic,fwd,mid-size,SUV,silver,-1,7188.607209378621,4209.0,1415
dallas / fort worth,2014,honda,like new,4 cylinders,gas,96903,clean,manual,fwd,full-size,sedan,black,tx,9200.928884705296,3170.0,1424
inland empire,2018,toyota,excellent,4 cylinders,gas,124643,clean,manual,fwd,compact,SUV,blue,ca,12168.535154104,8208.0,1430
nashville,1999,chevrolet,good,8 cylinders,gas,158208,clean,automatic,4wd,full-size,truck,green,tn,8900.874516702956,5526.0,1442
albany,2016,jeep,excellent,4 cylinders,gas,131224,rebuilt,automatic,4wd,mid-size,SUV,silver,ny,18921.14361826307,7552.0,1446
dayton / springfield,2012,ford,excellent,8 cylinders,gas,114892,clean,automatic,rwd,full-size,coupe,blue,oh,14435.772864820203,35756.0,1449
erie,2011,bmw,like new,6 cylinders,gas,92997,rebuilt,automatic,rwd,mid-size,sedan,silver,pa,15510.611695687985,20455.0,1457
fresno / madera,2011,honda,excellent,4 cylinders,gas,105586,clean,automatic,fwd,compact,sedan,black,-1,7352.618628171971,5863.0,1469
albany,2006,ram,excellent,6 cylinders,diesel,140870,clean,automatic,4wd,full-size,pickup,black,ny,22250.84706398635,15698.0,1470
stockton,2012,nissan,excellent,6 cylinders,gas,126029,clean,automatic,rwd,mid-size,pickup,black,ca,15748.569734880468,12271.0,1471
denver,2010,ford,excellent,6 cylinders,gas,103650,clean,automatic,4wd,mid-size,truck,green,-1,15219.802211586153,15160.0,1477
harrisonburg,2011,toyota,good,6 cylinders,gas,53508,clean,manual,fwd,full-size,truck,black,va,15121.368315376109,5807.0,1480
"washington, DC",2004,ford,good,8 cylinders,gas,209331,clean,automatic,rwd,full-size,pickup,white,-1,9882.998759263894,7186.0,1502
rhode island,2013,buick,excellent,6 cylinders,gas,133637,clean,automatic,fwd,mid-size,sedan,silver,ri,8515.47401765897,7702.0,1509
san diego,2004,ford,like new,4 cylinders,gas,198853,clean,automatic,fwd,compact,sedan,green,ca,5067.744406373939,1151.0,1522
oklahoma city,2000,lincoln,fair,6 cylinders,gas,198613,clean,automatic,rwd,full-size,SUV,black,ok,5655.330909410259,3708.0,1526
philadelphia,2000,jeep,excellent,6 cylinders,gas,110015,clean,manual,4wd,full-size,SUV,blue,pa,13501.791269380366,7081.0,1528
rochester,2012,saturn,good,6 cylinders,gas,125249,clean,automatic,fwd,mid-size,sedan,black,ny,7385.3601129890885,2666.0,1541
redding,2012,chevrolet,excellent,4 cylinders,gas,-1,clean,automatic,fwd,mid-size,sedan,silver,ca,11088.574655554956,3782.0,1545
binghamton,2015,hyundai,new,4 cylinders,gas,62828,clean,automatic,fwd,full-size,hatchback,black,ny,12321.071936197346,5809.0,1577
las vegas,2010,bmw,like new,6 cylinders,gas,149657,clean,manual,fwd,mid-size,coupe,blue,nv,10377.626894773683,22335.0,1583
wichita,2003,ram,good,8 cylinders,diesel,137308,clean,other,4wd,full-size,truck,black,ks,17566.839009998133,39032.0,1584
new york city,2018,audi,excellent,4 cylinders,-1,74842,clean,automatic,fwd,mid-size,wagon,grey,ny,16281.425769915571,19858.0,1603
rhode island,2010,jeep,excellent,6 cylinders,gas,117071,clean,automatic,4wd,mid-size,SUV,blue,-1,15178.085703663295,3254.0,1613
south jersey,2014,audi,excellent,4 cylinders,gas,198797,-1,automatic,fwd,compact,-1,black,nj,10058.412366317352,7405.0,1629
memphis,2010,mitsubishi,like new,6 cylinders,gas,118965,clean,automatic,fwd,mid-size,sedan,white,tn,10822.253112764796,9606.0,1643
eugene,2013,jeep,excellent,6 cylinders,gas,156981,clean,automatic,4wd,full-size,SUV,white,or,16295.138185329502,9953.0,1649
central NJ,2014,ford,like new,8 cylinders,gas,141555,clean,automatic,rwd,full-size,pickup,blue,nj,19111.878762766486,51704.0,1685
south coast,2014,gmc,excellent,8 cylinders,gas,121558,rebuilt,automatic,4wd,full-size,SUV,black,ma,18187.711021244293,26113.0,1719
el paso,2014,chrysler,excellent,6 cylinders,gas,42004,rebuilt,automatic,rwd,mid-size,coupe,white,tx,22456.142641968792,11679.0,1722
los angeles,2014,chevrolet,excellent,other,electric,57137,clean,automatic,fwd,compact,hatchback,black,-1,15121.931960008806,2503.0,1726
detroit metro,2017,honda,excellent,4 cylinders,gas,59442,rebuilt,automatic,fwd,mid-size,sedan,black,-1,15409.00150096952,8991.0,1745
albany,2014,ford,good,4 cylinders,gas,163623,clean,manual,fwd,full-size,sedan,white,ny,8828.730270722648,6353.0,1760
pittsburgh,2018,ram,excellent,8 cylinders,diesel,78643,clean,automatic,4wd,full-size,truck,white,pa,37437.30472384929,18887.0,1765
los angeles,2017,chevrolet,excellent,4 cylinders,gas,94493,salvage,manual,fwd,mid-size,sedan,black,ca,14435.58237155131,14838.0,1771
eau claire,1994,chevrolet,good,8 cylinders,diesel,198329,clean,automatic,rwd,full-size,truck,white,wi,14891.730996781727,4772.0,1774
boulder,2015,bmw,like new,6 cylinders,gas,64498,clean,other,rwd,mid-size,sedan,blue,-1,19933.802101848414,29815.0,1784
long island,2009,ram,good,8 cylinders,gas,68449,clean,automatic,4wd,full-size,SUV,black,ny,19665.064588730922,20113.0,1786
houston,1986,chevrolet,good,4 cylinders,gas,186728,salvage,automatic,fwd,full-size,SUV,black,tx,6115.38706112816,6185.0,1788
central NJ,2011,ford,excellent,6 cylinders,gas,84844,clean,automatic,fwd,mid-size,SUV,silver,-1,12894.100705809658,21171.0,1799
bakersfield,1990,toyota,like new,6 cylinders,gas,33639,lien,automatic,fwd,mid-size,sedan,blue,-1,12983.932595759397,4764.0,1801
atlanta,2018,chevrolet,good,4 cylinders,hybrid,5649,clean,automatic,fwd,full-size,sedan,blue,ga,20816.366803293815,28049.0,1832
south florida,1968,ford,excellent,4 cylinders,gas,116669,clean,automatic,fwd,mid-size,sedan,red,fl,7031.188893595478,11861.0,1837
rhode island,2011,ford,excellent,6 cylinders,-1,153373,clean,automatic,4wd,mid-size,SUV,red,ri,13937.67775148875,8575.0,1842
lancaster,2012,chevrolet,like new,8 cylinders,gas,14711,clean,manual,rwd,full-size,SUV,black,pa,26493.150174526265,52677.0,1855
hartford,2012,ford,excellent,8 cylinders,gas,116733,rebuilt,manual,4wd,mid-size,SUV,black,ct,16174.841057598358,15155.0,1880
richmond,2008,nissan,like new,4 cylinders,gas,175520,clean,manual,fwd,mid-size,sedan,blue,va,6056.819058412453,21499.0,1889
south florida,2004,ford,excellent,4 cylinders,gas,162830,clean,automatic,fwd,full-size,SUV,blue,fl,8180.021490597865,3772.0,1893
yuba-sutter,2015,ram,like new,8 cylinders,diesel,15962,clean,automatic,4wd,full-size,truck,black,-1,43502.73156625568,55029.0,1896
richmond,2016,chevrolet,good,4 cylinders,gas,15121,clean,other,fwd,mid-size,sedan,red,va,17490.444846397033,54146.0,1898
scranton / wilkes-barre,2008,bmw,like new,6 cylinders,gas,240985,rebuilt,manual,fwd,mid-size,coupe,orange,pa,7191.790607528528,6603.0,1902
kalispell,2008,ford,fair,6 cylinders,gas,174809,clean,manual,4wd,full-size,truck,black,mt,9074.918362386292,7219.0,1930
central NJ,2007,buick,excellent,6 cylinders,gas,146055,clean,automatic,fwd,mid-size,coupe,white,nj,7919.740160876652,4312.0,1945
